OS03G0784300	AT1G01020|AT4G01510
OS03G0405000	AT1G47290|AT2G26260
OS03G0404800	AT1G47290|AT2G26260
OS03G0765100	AT1G47310
OS09G0459600	AT1G47380
OS02G0567200	AT1G47380
OS04G0449400	AT1G47380
OS03G0395100	AT1G47380
OS04G0418000	AT1G47420
OS09G0462200	AT1G47480
OS08G0475400	AT1G47480
OS02G0567900	AT1G47490|AT1G47500
OS09G0462700	AT1G47490|AT1G47500
OS04G0449900	AT1G47490|AT1G47500
OS03G0626500	AT1G47510
OS08G0550200	AT1G47530
OS11G0276000	AT1G47550|AT1G47560
OS03G0625700	AT1G47550|AT1G47560
OS11G0175500	AT1G47570
OS08G0123300	AT1G47570
OS12G0596000	AT1G47578|AT4G31050
OS08G0509400	AT1G47600|AT1G51470|AT1G51490|AT1G52400|AT1G66270|AT1G66280|AT1G75940|AT2G32860|AT2G44460|AT2G44470|AT2G44490|AT3G03640|AT3G09260|AT3G21370|AT3G60120|AT3G60140|AT5G24540|AT5G24550|AT5G28510
OS08G0509200	AT1G47600|AT1G51470|AT1G51490|AT1G52400|AT1G66270|AT1G66280|AT1G75940|AT2G32860|AT2G44460|AT2G44470|AT2G44490|AT3G03640|AT3G09260|AT3G21370|AT3G60120|AT3G60140|AT5G24540|AT5G24550|AT5G28510
OS11G0184300	AT1G47600|AT1G51470|AT1G51490|AT1G52400|AT1G66270|AT1G66280|AT1G75940|AT2G32860|AT2G44460|AT2G44470|AT2G44490|AT3G03640|AT3G09260|AT3G21370|AT3G60120|AT3G60140|AT5G24540|AT5G24550|AT5G28510
OS09G0491100	AT1G47600|AT1G51470|AT1G51490|AT1G52400|AT1G66270|AT1G66280|AT1G75940|AT2G32860|AT2G44460|AT2G44470|AT2G44490|AT3G03640|AT3G09260|AT3G21370|AT3G60120|AT3G60140|AT5G24540|AT5G24550|AT5G28510
OS09G0490400	AT1G47600|AT1G51470|AT1G51490|AT1G52400|AT1G66270|AT1G66280|AT1G75940|AT2G32860|AT2G44460|AT2G44470|AT2G44490|AT3G03640|AT3G09260|AT3G21370|AT3G60120|AT3G60140|AT5G24540|AT5G24550|AT5G28510
OS03G0140200	AT1G47620|AT1G57750|AT1G65340|AT2G21910|AT2G23180|AT4G32170|AT4G39480|AT4G39490|AT4G39500|AT4G39510|AT5G02900|AT5G51900|AT5G52320
OS03G0140100	AT1G47620|AT1G57750|AT1G65340|AT2G21910|AT2G23180|AT4G32170|AT4G39480|AT4G39490|AT4G39500|AT4G39510|AT5G02900|AT5G51900|AT5G52320
OS01G0183600	AT1G47620|AT1G57750|AT1G65340|AT2G21910|AT2G23180|AT4G32170|AT4G39480|AT4G39490|AT4G39500|AT4G39510|AT5G02900|AT5G51900|AT5G52320
OS03G0139600	AT1G47620|AT1G57750|AT1G65340|AT2G21910|AT2G23180|AT4G32170|AT4G39480|AT4G39490|AT4G39500|AT4G39510|AT5G02900|AT5G51900|AT5G52320
OS03G0766000	AT1G47640
OS03G0619151	AT1G47655
OS04G0678400	AT1G47655
OS12G0485600	AT1G47670
OS01G0765400	AT1G47710|AT1G51330|AT1G62160|AT1G62170|AT1G63280|AT1G64010|AT1G64030|AT2G14540|AT2G25240|AT2G26390|AT2G35580|AT3G45220
OS05G0511800	AT1G47710|AT1G51330|AT1G62160|AT1G62170|AT1G63280|AT1G64010|AT1G64030|AT2G14540|AT2G25240|AT2G26390|AT2G35580|AT3G45220
OS03G0610800	AT1G47710|AT1G51330|AT1G62160|AT1G62170|AT1G63280|AT1G64010|AT1G64030|AT2G14540|AT2G25240|AT2G26390|AT2G35580|AT3G45220
OS03G0610700	AT1G47710|AT1G51330|AT1G62160|AT1G62170|AT1G63280|AT1G64010|AT1G64030|AT2G14540|AT2G25240|AT2G26390|AT2G35580|AT3G45220
OS03G0610650	AT1G47710|AT1G51330|AT1G62160|AT1G62170|AT1G63280|AT1G64010|AT1G64030|AT2G14540|AT2G25240|AT2G26390|AT2G35580|AT3G45220
OS03G0611700	AT1G47720
OS03G0198500	AT1G47740
OS03G0302000	AT1G47750
OS03G0301950	AT1G47750
OS04G0174900	AT1G47780|AT1G47786|AT1G51300|AT1G52440|AT1G52460|AT1G52470|AT1G52695|AT1G52700|AT3G15650
OS05G0588100	AT1G47780|AT1G47786|AT1G51300|AT1G52440|AT1G52460|AT1G52470|AT1G52695|AT1G52700|AT3G15650
OS01G0175000	AT1G47780|AT1G47786|AT1G51300|AT1G52440|AT1G52460|AT1G52470|AT1G52695|AT1G52700|AT3G15650
OS01G0612500	AT1G47780|AT1G47786|AT1G51300|AT1G52440|AT1G52460|AT1G52470|AT1G52695|AT1G52700|AT3G15650
OS06G0717300	AT1G47813|AT1G47820
OS12G0207300	AT1G47830
OS07G0197100	AT1G47840
OS04G0112200	AT1G47870
OS01G0502400	AT1G47940|AT1G48700|AT1G48740|AT3G18210|AT5G43660
OS04G0404400	AT1G47980
OS05G0158600	AT1G47990
OS01G0332200	AT1G47990
OS01G0298400	AT1G48000
OS11G0684000	AT1G48000
OS03G0315400	AT1G48000
OS05G0132700	AT1G48000
OS07G0688200	AT1G48000
OS01G0328700	AT1G48030|AT3G17240
OS03G0856200	AT1G48050
OS02G0470400	AT1G48090
OS02G0470600	AT1G48090
OS10G0565300	AT1G48090
OS01G0329300	AT1G48100
OS05G0279900	AT1G48100
OS03G0317000	AT1G48110|AT3G17330
OS08G0513000	AT1G48120
OS07G0638300	AT1G48130
OS07G0638400	AT1G48130
OS02G0749450	AT1G48140
OS06G0342100	AT1G48160
OS12G0182800	AT1G48170
OS03G0321900	AT1G48175
OS12G0278800	AT1G48195|AT3G48440|AT5G63260
OS06G0149500	AT1G48200
OS05G0135800	AT1G48210|AT1G48220|AT3G17410
OS03G0702700	AT1G48230|AT3G17430
OS03G0369800	AT1G48240|AT3G17440
OS07G0637400	AT1G48240|AT3G17440
OS05G0136200	AT1G48260|AT3G17510
OS01G0292200	AT1G48260|AT3G17510
OS07G0637000	AT1G48260|AT3G17510
OS06G0199800	AT1G48270
OS05G0137300	AT1G48300
OS07G0636200	AT1G48310
OS03G0691400	AT1G48320|AT5G48950
OS03G0828100	AT1G48350
OS06G0171800	AT1G48360
OS04G0674600	AT1G48370|AT3G17650|AT5G45450
OS06G0730200	AT1G48380
OS07G0172200	AT1G48380
OS03G0110500	AT1G48405|AT3G17680
OS06G0729300	AT1G48410
OS02G0672200	AT1G48410
OS04G0566500	AT1G48410
OS02G0169400	AT1G48410
OS02G0831600	AT1G48410
OS02G0616300	AT1G48410
OS02G0773300	AT1G48420
OS03G0719300	AT1G48430|AT3G17770
OS03G0240700	AT1G48440|AT3G17780
OS03G0717900	AT1G48450|AT3G17800
OS03G0712800	AT1G48470|AT3G17820
OS03G0223000	AT1G48480|AT3G17840
OS08G0427600	AT1G48480|AT3G17840
OS09G0400500	AT1G48480|AT3G17840
OS04G0463000	AT1G48480|AT3G17840
OS03G0711800	AT1G48490|AT3G17850
OS09G0401300	AT1G48500|AT3G17860
OS08G0428400	AT1G48500|AT3G17860
OS03G0200700	AT1G48510|AT3G17910
OS11G0544800	AT1G48520
OS07G0548900	AT1G48530|AT3G53970
OS03G0221800	AT1G48540|AT3G17920
OS03G0708900	AT1G48570
OS02G0327000	AT1G48590|AT3G17980
OS07G0108400	AT1G48590|AT3G17980
OS07G0108500	AT1G48590|AT3G17980
OS07G0500300	AT1G48590|AT3G17980
OS07G0501700	AT1G48590|AT3G17980
OS01G0695100	AT1G48600|AT1G73600|AT3G18000
OS05G0548900	AT1G48600|AT1G73600|AT3G18000
OS06G0199500	AT1G48605|AT3G18030
OS09G0314300	AT1G48635|AT3G18160
OS01G0118100	AT1G48650
OS05G0550600	AT1G48750|AT3G18280
OS10G0505500	AT1G48750|AT3G18280
OS01G0691100	AT1G48750|AT3G18280
OS10G0505700	AT1G48750|AT3G18280
OS11G0620300	AT1G48750|AT3G18280
OS06G0705400	AT1G48750|AT3G18280
OS03G0111300	AT1G48750|AT3G18280
OS10G0504900	AT1G48750|AT3G18280
OS10G0504650	AT1G48750|AT3G18280
OS10G0505000	AT1G48750|AT3G18280
OS05G0550300	AT1G48750|AT3G18280
OS01G0512200	AT1G48760
OS01G0132500	AT1G48770|AT3G18295
OS01G0689000	AT1G48770|AT3G18295
OS03G0297300	AT1G48830|AT3G02560|AT5G16130
OS03G0297100	AT1G48830|AT3G02560|AT5G16130
OS05G0346300	AT1G48830|AT3G02560|AT5G16130
OS02G0324500	AT1G48830|AT3G02560|AT5G16130
OS10G0127700	AT1G48840|AT3G18350
OS05G0264200	AT1G48840|AT3G18350
OS03G0254800	AT1G48850
OS06G0133900	AT1G48860|AT2G45300
OS04G0417800	AT1G48870
OS02G0539900	AT1G48870
OS01G0880400	AT1G48880
OS05G0426300	AT1G48880
OS02G0272200	AT1G48910
OS11G0207700	AT1G48910
OS12G0189500	AT1G48910
OS11G0207900	AT1G48910
OS08G0192900	AT1G48920|AT3G18610
OS04G0620700	AT1G48920|AT3G18610
OS04G0674800	AT1G48930
OS01G0272700	AT1G48940|AT3G18590
OS04G0673800	AT1G48940|AT3G18590
OS02G0725500	AT1G48940|AT3G18590
OS06G0286228	AT1G48940|AT3G18590
OS01G0605650	AT1G48950
OS12G0617100	AT1G48970
OS03G0645200	AT1G48970
OS06G0138200	AT1G48980|AT2G17970|AT4G36090
OS01G0643900	AT1G48990|AT3G18570
OS05G0576700	AT1G48990|AT3G18570
OS06G0499100	AT1G49000|AT3G18560
OS02G0711400	AT1G49000|AT3G18560
OS05G0210525	AT1G49000|AT3G18560
OS04G0676700	AT1G49010
OS10G0569200	AT1G49015
OS01G0575500	AT1G49040
OS02G0730700	AT1G49050
OS06G0268700	AT1G49050
OS09G0309700	AT1G49120
OS03G0711100	AT1G49130
OS10G0576000	AT1G49140|AT3G18410
OS04G0686300	AT1G49170
OS04G0686600	AT1G49180
OS02G0541500	AT1G49200|AT1G49210|AT1G49220|AT3G18773
OS01G0866000	AT1G49200|AT1G49210|AT1G49220|AT3G18773
OS04G0419550	AT1G49200|AT1G49210|AT1G49220|AT3G18773
OS05G0439000	AT1G49200|AT1G49210|AT1G49220|AT3G18773
OS02G0541500	AT1G49230
OS01G0866000	AT1G49230
OS04G0419550	AT1G49230
OS05G0439000	AT1G49230
OS10G0104800	AT1G49270|AT3G18810|AT4G34440
OS07G0137800	AT1G49270|AT3G18810|AT4G34440
OS03G0226901	AT1G49270|AT3G18810|AT4G34440
OS07G0274300	AT1G49290|AT5G13620
OS05G0516600	AT1G49300|AT3G18820
OS05G0549300	AT1G49330|AT2G16190
OS05G0549500	AT1G49330|AT2G16190
OS01G0693100	AT1G49330|AT2G16190
OS12G0236600	AT1G49330|AT2G16190
OS03G0711200	AT1G49340|AT1G51040
OS05G0185700	AT1G49350
OS03G0769600	AT1G49380
OS06G0177600	AT1G49390|AT5G20400|AT5G20550|AT5G54000
OS06G0176500	AT1G49390|AT5G20400|AT5G20550|AT5G54000
OS06G0176700	AT1G49390|AT5G20400|AT5G20550|AT5G54000
OS06G0176300	AT1G49390|AT5G20400|AT5G20550|AT5G54000
OS06G0177700	AT1G49390|AT5G20400|AT5G20550|AT5G54000
OS02G0280700	AT1G49390|AT5G20400|AT5G20550|AT5G54000
OS02G0320800	AT1G49390|AT5G20400|AT5G20550|AT5G54000
OS06G0178500	AT1G49390|AT5G20400|AT5G20550|AT5G54000
OS06G0178700	AT1G49390|AT5G20400|AT5G20550|AT5G54000
OS08G0359600	AT1G49400|AT3G18880
OS03G0767900	AT1G49405
OS11G0558300	AT1G49430
OS12G0594000	AT1G49450|AT3G18950|AT4G34380
OS03G0625300	AT1G49450|AT3G18950|AT4G34380
OS03G0738700	AT1G49450|AT3G18950|AT4G34380
OS08G0462900	AT1G49470
OS11G0657400	AT1G49490|AT3G19020
OS12G0542200	AT1G49490|AT3G19020
OS03G0764450	AT1G49520|AT3G19080
OS05G0235701	AT1G49530|AT2G18620|AT2G18640|AT2G23800|AT3G14510|AT3G14530|AT3G14550|AT3G20160|AT3G29430|AT3G32040|AT4G36810
OS07G0580900	AT1G49530|AT2G18620|AT2G18640|AT2G23800|AT3G14510|AT3G14530|AT3G14550|AT3G20160|AT3G29430|AT3G32040|AT4G36810
OS08G0493900	AT1G49540
OS12G0586300	AT1G49560
OS03G0764600	AT1G49560
OS07G0119300	AT1G49560
OS03G0241001	AT1G49560
OS07G0619800	AT1G49580|AT3G19100
OS06G0215200	AT1G49590
OS02G0567900	AT1G49600|AT3G19130
OS09G0462700	AT1G49600|AT3G19130
OS04G0449900	AT1G49600|AT3G19130
OS11G0614800	AT1G49620
OS02G0761400	AT1G49630|AT3G19170
OS09G0459800	AT1G49670
OS08G0472600	AT1G49710|AT3G19280
OS04G0430400	AT1G49730|AT3G19300
OS04G0689400	AT1G49730|AT3G19300
OS08G0103500	AT1G49740|AT3G19310
OS04G0430200	AT1G49740|AT3G19310
OS04G0689300	AT1G49740|AT3G19310
OS08G0314800	AT1G49760|AT4G34110
OS09G0115400	AT1G49760|AT4G34110
OS04G0504800	AT1G49760|AT4G34110
OS04G0429300	AT1G49770
OS04G0429400	AT1G49770
OS02G0548700	AT1G49780|AT3G19380
OS09G0109800	AT1G49810|AT3G19490
OS04G0669800	AT1G49820
OS04G0669900	AT1G49820
OS03G0759700	AT1G49830|AT3G19500
OS03G0606100	AT1G49840|AT3G19540
OS07G0591100	AT1G49840|AT3G19540
OS12G0581300	AT1G49840|AT3G19540
OS03G0206900	AT1G49850
OS03G0604600	AT1G49870
OS03G0206300	AT1G49880
OS10G0345600	AT1G49890|AT3G19570
OS07G0115600	AT1G49890|AT3G19570
OS10G0345701	AT1G49890|AT3G19570
OS03G0762900	AT1G49890|AT3G19570
OS07G0588700	AT1G49900|AT3G49930|AT5G61470|AT5G67450
OS07G0588600	AT1G49900|AT3G49930|AT5G61470|AT5G67450
OS07G0588500	AT1G49910|AT3G19590
OS03G0448600	AT1G49910|AT3G19590
OS12G0613300	AT1G49950
OS03G0694500	AT1G49960
OS05G0592100	AT1G49970
OS03G0731100	AT1G49975
OS03G0616300	AT1G49980
OS03G0729700	AT1G50000
OS11G0549900	AT1G50020
OS05G0235300	AT1G50030
OS03G0773000	AT1G50040|AT3G19680
OS07G0133500	AT1G50040|AT3G19680
OS07G0127600	AT1G50050|AT1G50060
OS07G0125000	AT1G50050|AT1G50060
OS07G0125600	AT1G50050|AT1G50060
OS07G0126401	AT1G50050|AT1G50060
OS12G0633400	AT1G50050|AT1G50060
OS03G0231600	AT1G50090|AT1G50110|AT3G19710
OS06G0618600	AT1G50120
OS02G0749150	AT1G50140|AT3G19740
OS06G0225900	AT1G50140|AT3G19740
OS02G0296800	AT1G50170
OS10G0182000	AT1G50200
OS12G0433500	AT1G50240
OS06G0725900	AT1G50250|AT5G42270
OS02G0829200	AT1G50260|AT3G19830
OS04G0674300	AT1G50280|AT3G19850
OS07G0296200	AT1G50300
OS09G0299500	AT1G50300
OS04G0676100	AT1G50320
OS01G0691700	AT1G50370|AT3G19980
OS06G0730600	AT1G50380
OS01G0276200	AT1G50400|AT3G20000
OS03G0323800	AT1G50400|AT3G20000
OS04G0629300	AT1G50410|AT3G16600|AT3G20010
OS08G0180300	AT1G50410|AT3G16600|AT3G20010
OS12G0138100	AT1G50420
OS05G0378500	AT1G50420
OS11G0141700	AT1G50420
OS12G0138200	AT1G50420
OS11G0141500	AT1G50420
OS01G0948200	AT1G50420
OS12G0138166	AT1G50420
OS06G0211500	AT1G50420
OS05G0378200	AT1G50420
OS02G0465400	AT1G50430
OS02G0132300	AT1G50440
OS12G0137200	AT1G50450
OS11G0140700	AT1G50450
OS05G0375100	AT1G50460|AT3G20040
OS01G0940100	AT1G50460|AT3G20040
OS09G0446800	AT1G50480|AT2G12200|AT2G12280
OS01G0273100	AT1G50490|AT3G20060
OS01G0906200	AT1G50500|AT1G50970
OS08G0504400	AT1G50510
OS07G0585000	AT1G50570|AT5G55530
OS03G0194100	AT1G50570|AT5G55530
OS03G0587100	AT1G50575
OS11G0457300	AT1G50580|AT1G64910|AT1G64920|AT2G22930|AT3G29630|AT4G09500|AT4G27560|AT4G27570|AT5G53990|AT5G54010|AT5G54060
OS11G0461200	AT1G50580|AT1G64910|AT1G64920|AT2G22930|AT3G29630|AT4G09500|AT4G27560|AT4G27570|AT5G53990|AT5G54010|AT5G54060
OS09G0484800	AT1G50590
OS07G0583600	AT1G50600
OS03G0193000	AT1G50600
OS06G0663000	AT1G50610|AT3G20190
OS02G0174400	AT1G50610|AT3G20190
OS08G0521200	AT1G50610|AT3G20190
OS06G0309000	AT1G50620|AT3G20280
OS02G0720000	AT1G50620|AT3G20280
OS02G0566400	AT1G50630|AT3G20300
OS06G0635200	AT1G50630|AT3G20300
OS04G0448000	AT1G50630|AT3G20300
OS04G0669200	AT1G50640|AT3G20310
OS04G0625000	AT1G50660|AT3G20350
OS08G0190700	AT1G50660|AT3G20350
OS02G0164800	AT1G50670
OS07G0515100	AT1G50700|AT3G20410
OS02G0119100	AT1G50710
OS01G0248000	AT1G50720|AT4G26880|AT5G55110
OS03G0568500	AT1G50740|AT3G20510
OS12G0256800	AT1G50750|AT1G50760|AT1G50770|AT1G50790|AT1G50820|AT1G50830|AT1G51538|AT4G16050|AT5G18510
OS03G0565300	AT1G50750|AT1G50760|AT1G50770|AT1G50790|AT1G50820|AT1G50830|AT1G51538|AT4G16050|AT5G18510
OS03G0565900	AT1G50750|AT1G50760|AT1G50770|AT1G50790|AT1G50820|AT1G50830|AT1G51538|AT4G16050|AT5G18510
OS08G0175600	AT1G50840|AT3G20540
OS08G0175300	AT1G50840|AT3G20540
OS04G0637400	AT1G50840|AT3G20540
OS07G0520400	AT1G50890|AT4G27060
OS07G0520800	AT1G50900
OS09G0504900	AT1G50910
OS03G0835400	AT1G50940
OS07G0524100	AT1G50950|AT3G20560|AT4G27080
OS02G0630300	AT1G50960
OS07G0103500	AT1G50960
OS04G0522500	AT1G50960
OS03G0132800	AT1G50990
OS10G0542800	AT1G50990
OS07G0545400	AT1G51060|AT5G54640
OS12G0438000	AT1G51060|AT5G54640
OS08G0427700	AT1G51060|AT5G54640
OS07G0545300	AT1G51060|AT5G54640
OS07G0543000	AT1G51070|AT5G54680
OS08G0138500	AT1G51070|AT5G54680
OS03G0138900	AT1G51080
OS01G0676200	AT1G51100
OS07G0470700	AT1G51110
OS06G0618000	AT1G51130|AT3G20760
OS08G0506700	AT1G51140
OS09G0487900	AT1G51140
OS05G0417100	AT1G51150|AT1G65630|AT1G65640|AT3G16540|AT3G16550|AT5G36950|AT5G40560|AT5G54745
OS01G0513700	AT1G51160
OS08G0504800	AT1G51170|AT3G20830
OS09G0486700	AT1G51170|AT3G20830
OS06G0612800	AT1G51200
OS02G0195600	AT1G51200
OS06G0282400	AT1G51210|AT5G03490
OS06G0283100	AT1G51210|AT5G03490
OS08G0489100	AT1G51210|AT5G03490
OS06G0282000	AT1G51210|AT5G03490
OS08G0488800	AT1G51210|AT5G03490
OS09G0485600	AT1G51220|AT3G20880
OS08G0504000	AT1G51220|AT3G20880
OS06G0612300	AT1G51220|AT3G20880
OS11G0637800	AT1G51260
OS03G0174600	AT1G51310
OS10G0206800	AT1G51340
OS11G0638900	AT1G51350
OS07G0609000	AT1G51360|AT2G31670
OS03G0566800	AT1G51380|AT3G19760
OS01G0639100	AT1G51380|AT3G19760
OS05G0155300	AT1G51390|AT3G20970
OS03G0216900	AT1G51405
OS01G0528800	AT1G51410
OS02G0143100	AT1G51420|AT2G35840|AT3G52340
OS05G0144900	AT1G51420|AT2G35840|AT3G52340
OS01G0376700	AT1G51420|AT2G35840|AT3G52340
OS12G0143200	AT1G51450
OS11G0145700	AT1G51450
OS11G0146500	AT1G51450
OS05G0222200	AT1G51460
OS05G0222200	AT1G51500|AT3G21090
OS05G0140500	AT1G51510
OS03G0809900	AT1G51510
OS07G0682400	AT1G51520|AT1G51530|AT3G21100|AT5G12440
OS03G0328900	AT1G51520|AT1G51530|AT3G21100|AT5G12440
OS11G0125700	AT1G51520|AT1G51530|AT3G21100|AT5G12440
OS12G0123300	AT1G51520|AT1G51530|AT3G21100|AT5G12440
OS03G0329200	AT1G51520|AT1G51530|AT3G21100|AT5G12440
OS08G0128000	AT1G51540
OS04G0487100	AT1G51540
OS08G0230300	AT1G51550
OS08G0517500	AT1G51560|AT3G21140
OS02G0148400	AT1G51560|AT3G21140
OS05G0370600	AT1G51570|AT3G57880
OS09G0498600	AT1G51580
OS04G0606400	AT1G51590|AT3G21160
OS02G0148500	AT1G51600|AT3G21175
OS06G0698900	AT1G51600|AT3G21175
OS04G0298200	AT1G51610
OS05G0525501	AT1G51620|AT3G45920
OS09G0498800	AT1G51630|AT3G21190
OS08G0250200	AT1G51650
OS06G0191500	AT1G51660|AT3G21220
OS02G0787300	AT1G51660|AT3G21220
OS06G0191300	AT1G51660|AT3G21220
OS01G0550100	AT1G51710|AT3G21280
OS01G0558200	AT1G51720
OS01G0558300	AT1G51730
OS04G0530400	AT1G51740
OS12G0154400	AT1G51740
OS01G0558500	AT1G51745|AT3G21295
OS01G0560000	AT1G51760|AT1G51780|AT5G56650|AT5G56660
OS03G0731050	AT1G51770|AT3G21310
OS09G0356200	AT1G51840
OS08G0518400	AT1G51840
OS01G0741200	AT1G51940
OS02G0228900	AT1G51950|AT3G16500
OS01G0741900	AT1G51950|AT3G16500
OS05G0523300	AT1G51950|AT3G16500
OS01G0190300	AT1G51950|AT3G16500
OS05G0521900	AT1G51960|AT3G16490|AT4G29150
OS01G0190500	AT1G51960|AT3G16490|AT4G29150
OS05G0187500	AT1G51960|AT3G16490|AT4G29150
OS01G0743100	AT1G51960|AT3G16490|AT4G29150
OS02G0226900	AT1G51965
OS01G0191500	AT1G51980|AT3G16480
OS01G0739000	AT1G51980|AT3G16480
OS05G0524300	AT1G51980|AT3G16480
OS12G0202700	AT1G51990
OS01G0580800	AT1G52080
OS05G0185800	AT1G52080
OS05G0200700	AT1G52140|AT3G16330
OS01G0198500	AT1G52140|AT3G16330
OS06G0554600	AT1G52140|AT3G16330
OS02G0229800	AT1G52140|AT3G16330
OS06G0722650	AT1G52150
OS06G0722300	AT1G52150
OS06G0720500	AT1G52150
OS01G0200300	AT1G52150
OS11G0466300	AT1G52155
OS01G0232300	AT1G52160|AT3G16260
OS01G0761400	AT1G52190|AT3G16180
OS01G0761500	AT1G52190|AT3G16180
OS01G0229500	AT1G52191|AT3G16175
OS01G0761000	AT1G52220
OS05G0560000	AT1G52230|AT3G16140
OS05G0560100	AT1G52240|AT3G16130
OS02G0272300	AT1G52240|AT3G16130
OS01G0760300	AT1G52240|AT3G16130
OS01G0675000	AT1G52240|AT3G16130
OS06G0163400	AT1G52260|AT3G16110
OS06G0115700	AT1G52270|AT4G28310
OS01G0227300	AT1G52280|AT3G16100
OS09G0314800	AT1G52290
OS01G0750600	AT1G52290
OS01G0227200	AT1G52290
OS05G0218400	AT1G52290
OS03G0269300	AT1G52290
OS05G0516400	AT1G52290
OS01G0104000	AT1G52310
OS02G0159200	AT1G52315|AT1G79910
OS06G0687000	AT1G52315|AT1G79910
OS12G0256300	AT1G52325|AT1G80930
OS11G0151600	AT1G52325|AT1G80930
OS12G0273980	AT1G52325|AT1G80930
OS07G0206800	AT1G52330
OS03G0696000	AT1G52330
OS03G0810800	AT1G52340
OS01G0863400	AT1G52343
OS06G0143900	AT1G52360|AT1G79990|AT3G15980
OS02G0209000	AT1G52360|AT1G79990|AT3G15980
OS02G0209100	AT1G52360|AT1G79990|AT3G15980
OS01G0616500	AT1G52370|AT4G28360
OS05G0349500	AT1G52380|AT3G15970
OS06G0643600	AT1G52500
OS08G0304900	AT1G52500
OS04G0644600	AT1G52510
OS03G0843700	AT1G52520
OS04G0476500	AT1G52520
OS02G0608100	AT1G52520
OS11G0681300	AT1G52520
OS03G0255000	AT1G52520
OS02G0608300	AT1G52520
OS04G0528400	AT1G52530
OS06G0166900	AT1G52540|AT3G15890
OS02G0186500	AT1G52540|AT3G15890
OS02G0201000	AT1G52560
OS05G0171000	AT1G52570|AT3G15730
OS01G0172400	AT1G52570|AT3G15730
OS01G0173000	AT1G52590
OS06G0273800	AT1G52600|AT3G15710
OS05G0297900	AT1G52600|AT3G15710
OS08G0537900	AT1G52630
OS09G0311600	AT1G52660|AT3G15700
OS09G0272900	AT1G52660|AT3G15700
OS09G0322800	AT1G52660|AT3G15700
OS01G0956800	AT1G52660|AT3G15700
OS04G0470500	AT1G52660|AT3G15700
OS11G0572301	AT1G52660|AT3G15700
OS12G0205500	AT1G52660|AT3G15700
OS03G0254000	AT1G52660|AT3G15700
OS01G0788500	AT1G52660|AT3G15700
OS09G0345600	AT1G52660|AT3G15700
OS05G0542500	AT1G52690|AT3G15670
OS01G0705200	AT1G52690|AT3G15670
OS06G0142700	AT1G52710|AT1G80230|AT3G15640
OS05G0176700	AT1G52720|AT3G15630
OS01G0175100	AT1G52720|AT3G15630
OS06G0598900	AT1G52730|AT3G15610
OS02G0205400	AT1G52730|AT3G15610
OS02G0207900	AT1G52760
OS01G0943950	AT1G52770|AT3G15570
OS05G0178000	AT1G52770|AT3G15570
OS09G0468600	AT1G52770|AT3G15570
OS01G0176400	AT1G52770|AT3G15570
OS07G0580766	AT1G52780
OS01G0176800	AT1G52780
OS07G0580700	AT1G52780
OS07G0580733	AT1G52780
OS11G0265800	AT1G52800
OS05G0576500	AT1G52800
OS08G0417000	AT1G52800
OS08G0417100	AT1G52800
OS11G0265850	AT1G52800
OS11G0265800	AT1G52820
OS05G0576500	AT1G52820
OS08G0417000	AT1G52820
OS08G0417100	AT1G52820
OS11G0265850	AT1G52820
OS07G0181800	AT1G52825|AT4G14615
OS07G0564200	AT1G52855|AT3G15534
OS09G0315000	AT1G52870
OS03G0583800	AT1G52870
OS07G0566500	AT1G52880|AT3G15510
OS10G0495900	AT1G52910|AT3G15480
OS04G0678200	AT1G52910|AT3G15480
OS07G0462200	AT1G52910|AT3G15480
OS10G0497900	AT1G52920
OS04G0529600	AT1G52920
OS02G0591800	AT1G52930|AT3G15460
OS03G0352400	AT1G52980
OS05G0561500	AT1G53000
OS01G0677500	AT1G53023|AT1G53025|AT3G15355
OS01G0232500	AT1G53023|AT1G53025|AT3G15355
OS09G0294300	AT1G53023|AT1G53025|AT3G15355
OS05G0232500	AT1G53023|AT1G53025|AT3G15355
OS05G0557600	AT1G53023|AT1G53025|AT3G15355
OS02G0794600	AT1G53030|AT3G15352
OS01G0304300	AT1G53040
OS05G0531500	AT1G53040
OS07G0133100	AT1G53060|AT1G53070|AT1G53080|AT3G15356|AT3G16530|AT5G03350
OS07G0133000	AT1G53060|AT1G53070|AT1G53080|AT3G15356|AT3G16530|AT5G03350
OS03G0772700	AT1G53060|AT1G53070|AT1G53080|AT3G15356|AT3G16530|AT5G03350
OS03G0258000	AT1G53060|AT1G53070|AT1G53080|AT3G15356|AT3G16530|AT5G03350
OS09G0268100	AT1G53060|AT1G53070|AT1G53080|AT3G15356|AT3G16530|AT5G03350
OS07G0132500	AT1G53060|AT1G53070|AT1G53080|AT3G15356|AT3G16530|AT5G03350
OS07G0262600	AT1G53060|AT1G53070|AT1G53080|AT3G15356|AT3G16530|AT5G03350
OS03G0772600	AT1G53060|AT1G53070|AT1G53080|AT3G15356|AT3G16530|AT5G03350
OS01G0725800	AT1G53090|AT3G15354
OS01G0201100	AT1G53100|AT3G15350
OS09G0346400	AT1G53110|AT3G15340|AT4G27500|AT5G36690|AT5G36780
OS08G0390000	AT1G53110|AT3G15340|AT4G27500|AT5G36690|AT5G36780
OS01G0747700	AT1G53120
OS01G0248000	AT1G53130
OS01G0748000	AT1G53140
OS07G0507300	AT1G53165|AT3G15220
OS02G0594300	AT1G53170|AT3G15210
