Solyc11g008790.1	AT1G01020|AT4G01510
Solyc04g080660.2	AT1G19640
Solyc04g080690.1	AT1G19650|AT1G75370
Solyc04g080700.2	AT1G19660|AT1G75380
Solyc12g089220.1	AT1G19660|AT1G75380
Solyc09g065620.2	AT1G19670
Solyc12g005300.1	AT1G19670
Solyc02g089890.2	AT1G19690
Solyc04g080790.2	AT1G19700|AT1G75410
Solyc02g084820.2	AT1G19710|AT1G75420
Solyc10g078600.1	AT1G19715
Solyc04g080830.2	AT1G19720
Solyc04g080870.1	AT1G19740|AT1G75460
Solyc12g088340.1	AT1G19750|AT1G27840
Solyc01g100250.2	AT1G19800
Solyc04g081270.1	AT1G19830|AT1G75580
Solyc04g081260.2	AT1G19835|AT1G47900
Solyc12g089270.1	AT1G19840|AT1G75590|AT5G10990
Solyc04g081250.1	AT1G19840|AT1G75590|AT5G10990
Solyc04g081240.2	AT1G19850
Solyc12g089260.1	AT1G19860
Solyc04g081210.2	AT1G19870
Solyc04g081200.2	AT1G19880
Solyc09g059280.1	AT1G19890
Solyc04g081140.1	AT1G19900|AT1G75620
Solyc12g089250.1	AT1G19900|AT1G75620
Solyc04g081110.1	AT1G19900|AT1G75620
Solyc04g081120.1	AT1G19900|AT1G75620
Solyc04g081130.1	AT1G19900|AT1G75620
Solyc10g054570.1	AT1G19910|AT2G16510|AT4G34720|AT4G38920
Solyc02g084360.2	AT1G19910|AT2G16510|AT4G34720|AT4G38920
Solyc10g054560.1	AT1G19910|AT2G16510|AT4G34720|AT4G38920
Solyc10g054590.1	AT1G19910|AT2G16510|AT4G34720|AT4G38920
Solyc04g081090.2	AT1G19910|AT2G16510|AT4G34720|AT4G38920
Solyc04g081300.2	AT1G19940|AT1G75680
Solyc04g081340.2	AT1G19950|AT1G75700|AT5G42560
Solyc12g089290.1	AT1G19950|AT1G75700|AT5G42560
Solyc04g081450.2	AT1G19980
Solyc04g081470.2	AT1G19990
Solyc05g018120.1	AT1G20000|AT4G20280
Solyc05g010570.2	AT1G20000|AT4G20280
Solyc04g081490.2	AT1G20010|AT1G75780
Solyc04g081550.2	AT1G20030|AT1G75800
Solyc06g082980.2	AT1G20050
Solyc08g042030.1	AT1G20060
Solyc12g089330.1	AT1G20080
Solyc04g081750.2	AT1G20110
Solyc10g055590.1	AT1G20140|AT2G25700
Solyc06g043270.1	AT1G20140|AT2G25700
Solyc10g055600.1	AT1G20140|AT2G25700
Solyc10g055570.1	AT1G20140|AT2G25700
Solyc01g006660.1	AT1G20150
Solyc04g081810.2	AT1G20150
Solyc01g006660.1	AT1G20160
Solyc04g081810.2	AT1G20160
Solyc04g081840.2	AT1G20180
Solyc04g081870.2	AT1G20190
Solyc12g089380.1	AT1G20190
Solyc01g111700.1	AT1G20200|AT1G75990
Solyc04g081880.2	AT1G20220|AT1G76010
Solyc06g062280.2	AT1G20225|AT1G76020
Solyc12g094380.1	AT1G20225|AT1G76020
Solyc11g005960.1	AT1G20230
Solyc04g081950.2	AT1G20300
Solyc12g094390.1	AT1G20310|AT1G76070
Solyc04g081960.1	AT1G20310|AT1G76070
Solyc01g111830.2	AT1G20330|AT1G76090
Solyc10g055680.1	AT1G20330|AT1G76090
Solyc05g008680.1	AT1G20330|AT1G76090
Solyc04g082010.1	AT1G20340|AT1G76100
Solyc04g082070.2	AT1G20370|AT1G76120
Solyc08g022070.2	AT1G20380|AT1G76140
Solyc04g082120.2	AT1G20380|AT1G76140
Solyc04g082130.2	AT1G20410
Solyc12g094480.1	AT1G20430
Solyc04g082200.2	AT1G20440|AT1G20450|AT1G76180
Solyc04g082210.2	AT1G20460|AT1G76185
Solyc12g094510.1	AT1G20460|AT1G76185
Solyc04g082230.1	AT1G20470|AT1G76190
Solyc03g111170.2	AT1G20480|AT1G20490|AT1G20500|AT5G63380
Solyc03g111170.2	AT1G20510
Solyc12g094530.1	AT1G20520|AT1G76210
Solyc04g082240.1	AT1G20520|AT1G76210
Solyc04g082300.2	AT1G20540|AT1G76260
Solyc12g098400.1	AT1G20550|AT1G76270
Solyc12g094590.1	AT1G20550|AT1G76270
Solyc08g075810.2	AT1G20560
Solyc08g075800.1	AT1G20560
Solyc10g012100.1	AT1G20560
Solyc06g008920.2	AT1G20560
Solyc04g079390.2	AT1G20570|AT1G80260
Solyc04g082390.2	AT1G20575
Solyc02g084020.2	AT1G20580|AT1G76300
Solyc02g062240.2	AT1G20580|AT1G76300
Solyc03g033600.2	AT1G20580|AT1G76300
Solyc12g094600.1	AT1G20590|AT1G20610|AT1G76310
Solyc04g082430.2	AT1G20590|AT1G20610|AT1G76310
Solyc12g007300.1	AT1G20600|AT4G03160|AT4G03170
Solyc04g082460.2	AT1G20620|AT1G20630
Solyc12g094620.1	AT1G20620|AT1G20630
Solyc02g082760.2	AT1G20620|AT1G20630
Solyc04g082480.2	AT1G20640|AT1G76350
Solyc04g082510.2	AT1G20650|AT1G76370
Solyc12g094680.1	AT1G20650|AT1G76370
Solyc06g051210.2	AT1G20670|AT1G76380
Solyc04g082530.2	AT1G20670|AT1G76380
Solyc03g032130.2	AT1G20693|AT1G20696
Solyc02g082700.2	AT1G20693|AT1G20696
Solyc10g079510.1	AT1G20720|AT1G20750
Solyc04g082560.2	AT1G20760
Solyc02g087940.2	AT1G20770
Solyc04g082570.2	AT1G20780|AT1G76390
Solyc04g082660.2	AT1G20810
Solyc04g082680.2	AT1G20816|AT1G76405
Solyc12g094690.1	AT1G20823|AT1G76410
Solyc04g082690.1	AT1G20823|AT1G76410
Solyc08g042080.2	AT1G20830
Solyc03g032040.2	AT1G20840|AT3G51490
Solyc02g082410.2	AT1G20840|AT3G51490
Solyc12g094700.1	AT1G20850
Solyc04g082710.2	AT1G20850
Solyc04g082740.2	AT1G20870
Solyc04g082770.2	AT1G20880|AT1G76460
Solyc08g066030.2	AT1G20890|AT1G76480
Solyc04g082810.2	AT1G20900|AT1G76500
Solyc01g018070.1	AT1G20910|AT1G76510
Solyc04g025930.1	AT1G20910|AT1G76510
Solyc12g038740.1	AT1G20910|AT1G76510
Solyc04g082820.2	AT1G20910|AT1G76510
Solyc01g017030.1	AT1G20910|AT1G76510
Solyc00g036320.1	AT1G20910|AT1G76510
Solyc00g053740.1	AT1G20910|AT1G76510
Solyc12g094730.1	AT1G20910|AT1G76510
Solyc01g112330.1	AT1G20910|AT1G76510
Solyc12g095740.1	AT1G20910|AT1G76510
Solyc01g017790.1	AT1G20910|AT1G76510
Solyc12g098700.1	AT1G20920|AT3G09620
Solyc04g082830.2	AT1G20925|AT1G76520|AT1G76530
Solyc12g095750.1	AT1G20925|AT1G76520|AT1G76530
Solyc04g082840.2	AT1G20930|AT1G76540
Solyc12g095760.1	AT1G20950|AT1G76550
Solyc04g082880.2	AT1G20950|AT1G76550
Solyc06g071620.2	AT1G20960|AT2G42270
Solyc06g082100.2	AT1G20960|AT2G42270
Solyc05g008780.2	AT1G20970
Solyc04g082940.2	AT1G20990
Solyc04g082960.1	AT1G21010|AT1G76600
Solyc04g082970.2	AT1G21060|AT1G43020|AT1G76620
Solyc12g095770.1	AT1G21065
Solyc12g095790.1	AT1G21070|AT1G76670|AT5G42420
Solyc12g095800.1	AT1G21080|AT1G76700
Solyc04g071500.2	AT1G21090
Solyc04g051180.1	AT1G21140|AT1G76800|AT3G43630|AT3G43660
Solyc02g082010.1	AT1G21150
Solyc06g054400.2	AT1G21160|AT1G76720|AT1G76810|AT1G76820|AT2G27700
Solyc03g058380.2	AT1G21160|AT1G76720|AT1G76810|AT1G76820|AT2G27700
Solyc03g058350.2	AT1G21160|AT1G76720|AT1G76810|AT1G76820|AT2G27700
Solyc04g071350.2	AT1G21170|AT1G76850
Solyc12g056520.1	AT1G21170|AT1G76850
Solyc11g005370.1	AT1G21190|AT1G76860
Solyc01g104760.2	AT1G21200|AT1G76870
Solyc09g015230.1	AT1G21210|AT1G21230|AT1G21240|AT1G21250|AT1G21270|AT3G25490
Solyc09g015240.1	AT1G21210|AT1G21230|AT1G21240|AT1G21250|AT1G21270|AT3G25490
Solyc10g076560.1	AT1G21245
Solyc09g005190.1	AT1G21245
Solyc00g157180.2	AT1G21320|AT1G76940
Solyc04g071050.2	AT1G21320|AT1G76940
Solyc06g060470.1	AT1G21326
Solyc04g070960.1	AT1G21340
Solyc04g064930.2	AT1G21350
Solyc04g064920.2	AT1G21360|AT3G21260
Solyc06g060460.2	AT1G21370
Solyc04g063280.2	AT1G21380|AT1G76970
Solyc06g059860.2	AT1G21390|AT1G76980
Solyc08g080860.2	AT1G21390|AT1G76980
Solyc12g055890.1	AT1G21400|AT5G34780
Solyc06g059840.2	AT1G21400|AT5G34780
Solyc06g059850.1	AT1G21400|AT5G34780
Solyc12g055880.1	AT1G21400|AT5G34780
Solyc04g063350.2	AT1G21400|AT5G34780
Solyc04g063380.2	AT1G21410|AT1G77000
Solyc09g074430.2	AT1G21430
Solyc04g064550.1	AT1G21450
Solyc04g064610.2	AT1G21460
Solyc06g060580.1	AT1G21460
Solyc04g064620.2	AT1G21460
Solyc04g064640.2	AT1G21460
Solyc04g064630.2	AT1G21460
Solyc06g060590.2	AT1G21460
Solyc04g064680.2	AT1G21480
Solyc12g019550.1	AT1G21500
Solyc03g031940.2	AT1G21530|AT1G21540|AT1G77240
Solyc04g058170.1	AT1G21550
Solyc04g058160.1	AT1G21550
Solyc12g099920.1	AT1G21560|AT1G77270|AT3G07730|AT4G01170
Solyc11g072250.1	AT1G21560|AT1G77270|AT3G07730|AT4G01170
Solyc04g057990.2	AT1G21580
Solyc04g057930.2	AT1G21590|AT1G77280
Solyc04g057870.2	AT1G21600
Solyc11g005130.1	AT1G21610|AT1G77310
Solyc00g007110.2	AT1G21630
Solyc00g007120.2	AT1G21630
Solyc02g082540.2	AT1G21630
Solyc11g005100.1	AT1G21640
Solyc06g060060.2	AT1G21640
Solyc11g005020.1	AT1G21650
Solyc11g005030.1	AT1G21651
Solyc11g005040.1	AT1G21651
Solyc06g060090.2	AT1G21660
Solyc11g005080.1	AT1G21670|AT1G21680
Solyc11g012820.1	AT1G21690
Solyc06g060120.2	AT1G21700
Solyc11g018510.1	AT1G21710
Solyc11g018520.1	AT1G21710
Solyc04g009410.2	AT1G21720|AT1G77440
Solyc06g060140.2	AT1G21730
Solyc06g060270.2	AT1G21740|AT1G77500
Solyc06g060290.2	AT1G21750|AT1G77510
Solyc11g012830.1	AT1G21760
Solyc08g067800.1	AT1G21770|AT1G77540
Solyc11g012840.1	AT1G21780
Solyc01g079770.2	AT1G21790
Solyc06g060320.2	AT1G21810|AT1G77580
Solyc11g012860.1	AT1G21810|AT1G77580
Solyc11g013450.1	AT1G21830|AT1G44608
Solyc03g031430.1	AT1G21840
Solyc12g094460.1	AT1G21850|AT1G21860|AT1G41830|AT1G76160
Solyc04g082140.2	AT1G21850|AT1G21860|AT1G41830|AT1G76160
Solyc12g094470.1	AT1G21850|AT1G21860|AT1G41830|AT1G76160
Solyc06g060370.2	AT1G21870|AT1G77610
Solyc11g012880.1	AT1G21870|AT1G77610
Solyc11g012870.1	AT1G21880|AT1G77630
Solyc11g012930.1	AT1G21890
Solyc11g013000.1	AT1G21900|AT3G10780
Solyc06g060430.1	AT1G21900|AT3G10780
Solyc06g060450.2	AT1G21900|AT3G10780
Solyc06g060440.1	AT1G21900|AT3G10780
Solyc11g012980.1	AT1G21910|AT1G77640
Solyc11g013010.1	AT1G21920|AT1G77660
Solyc06g060410.2	AT1G21920|AT1G77660
Solyc03g093220.2	AT1G21930|AT3G42150
Solyc07g065580.1	AT1G21970
Solyc07g065570.1	AT1G21970
Solyc11g013180.1	AT1G21980|AT1G77740
Solyc11g013490.1	AT1G22015|AT1G77810
Solyc01g104000.2	AT1G22020|AT1G36370
Solyc11g013330.1	AT1G22030|AT1G77855
Solyc01g104980.2	AT1G22040
Solyc04g072640.2	AT1G22050|AT1G77870
Solyc12g056900.1	AT1G22050|AT1G77870
Solyc04g072630.2	AT1G22060
Solyc12g056860.1	AT1G22070|AT1G77920
Solyc04g072460.2	AT1G22070|AT1G77920
Solyc04g080670.2	AT1G22100|AT1G58643|AT1G58936|AT1G59312|AT5G42810
Solyc04g072650.1	AT1G22110|AT1G77932
Solyc06g033820.1	AT1G22130|AT1G77950|AT1G77980
Solyc06g048380.1	AT1G22130|AT1G77950|AT1G77980
Solyc06g033830.1	AT1G22130|AT1G77950|AT1G77980
Solyc05g051830.2	AT1G22130|AT1G77950|AT1G77980
Solyc07g052700.2	AT1G22130|AT1G77950|AT1G77980
Solyc07g052720.2	AT1G22130|AT1G77950|AT1G77980
Solyc12g056910.1	AT1G22140
Solyc10g047170.1	AT1G22150|AT1G78000|AT4G08620
Solyc04g072780.2	AT1G22160|AT1G78020
Solyc04g072800.2	AT1G22170|AT1G78050
Solyc04g072810.2	AT1G22180|AT4G08690
Solyc04g072900.1	AT1G22190|AT1G78080
Solyc12g056980.1	AT1G22190|AT1G78080
Solyc04g072920.2	AT1G22210|AT1G78090
Solyc04g072930.1	AT1G22220|AT1G78100
Solyc04g072940.2	AT1G22230|AT1G78110
Solyc04g073980.2	AT1G22240|AT1G35730|AT1G35750|AT1G78160|AT4G08840
Solyc04g074120.2	AT1G22260|AT1G22275
Solyc04g074150.1	AT1G22270|AT1G78190
Solyc04g074190.2	AT1G22280|AT1G34750
Solyc04g074230.2	AT1G22290|AT1G22300|AT1G34760
Solyc04g074250.1	AT1G22310
Solyc04g074310.2	AT1G22330|AT1G78260
Solyc12g057080.1	AT1G22340|AT1G22360|AT1G22370|AT1G22380|AT1G22400|AT1G78270
Solyc12g057070.1	AT1G22340|AT1G22360|AT1G22370|AT1G22380|AT1G22400|AT1G78270
Solyc04g074360.1	AT1G22340|AT1G22360|AT1G22370|AT1G22380|AT1G22400|AT1G78270
Solyc04g074350.2	AT1G22340|AT1G22360|AT1G22370|AT1G22380|AT1G22400|AT1G78270
Solyc04g074380.2	AT1G22340|AT1G22360|AT1G22370|AT1G22380|AT1G22400|AT1G78270
Solyc04g074390.2	AT1G22340|AT1G22360|AT1G22370|AT1G22380|AT1G22400|AT1G78270
Solyc12g057060.1	AT1G22340|AT1G22360|AT1G22370|AT1G22380|AT1G22400|AT1G78270
Solyc04g074530.2	AT1G22430|AT1G22440|AT4G22110
Solyc04g074540.2	AT1G22430|AT1G22440|AT4G22110
Solyc12g057120.1	AT1G22450
Solyc04g074550.2	AT1G22450
Solyc04g074670.2	AT1G22460
Solyc04g074740.2	AT1G22480|AT1G72230
Solyc12g087850.1	AT1G22490|AT1G72210
Solyc04g074810.2	AT1G22490|AT1G72210
Solyc11g027810.1	AT1G22510|AT1G72175
Solyc11g027870.1	AT1G22520|AT1G72170
Solyc11g051160.1	AT1G22530|AT1G72150
Solyc06g064940.2	AT1G22530|AT1G72150
Solyc06g065020.2	AT1G22540|AT1G72130|AT1G72140
Solyc06g065020.2	AT1G22550|AT1G22570|AT1G72120|AT1G72125
Solyc11g022530.1	AT1G22600|AT1G72100
Solyc06g065050.1	AT1G22600|AT1G72100
Solyc11g022460.1	AT1G22610
Solyc11g022400.1	AT1G22610
Solyc11g022380.1	AT1G22620
Solyc06g065100.2	AT1G22640|AT1G35515|AT4G09460
Solyc11g020610.1	AT1G22650|AT1G35580|AT1G72000|AT4G09510
Solyc06g065210.2	AT1G22650|AT1G35580|AT1G72000|AT4G09510
Solyc11g018820.1	AT1G22660
Solyc11g018770.1	AT1G22660
Solyc11g018710.1	AT1G22680|AT1G71970
Solyc06g065340.1	AT1G22680|AT1G71970
Solyc11g017440.1	AT1G22690
Solyc11g017200.1	AT1G22700
Solyc11g017010.1	AT1G22710|AT1G66570|AT1G71880|AT1G71890|AT2G14670|AT5G06170|AT5G43610
Solyc05g017770.1	AT1G22720
Solyc04g072130.1	AT1G22730
Solyc04g072050.2	AT1G22750
Solyc00g009040.2	AT1G22760|AT1G34140|AT1G71770
Solyc04g071990.2	AT1G22770
Solyc12g056650.1	AT1G22770
Solyc03g078290.2	AT1G22780
Solyc11g005680.1	AT1G22780
Solyc06g073370.2	AT1G22780
Solyc04g071970.2	AT1G22790
Solyc10g012160.2	AT1G22800
Solyc01g057080.1	AT1G22810|AT1G71520
Solyc09g082400.1	AT1G22830|AT1G71490
Solyc01g103220.2	AT1G22840|AT4G10040
Solyc11g042420.1	AT1G22840|AT4G10040
Solyc06g064570.2	AT1G22850
Solyc05g015210.2	AT1G22860
Solyc11g042990.1	AT1G22870|AT1G71410
Solyc11g040340.1	AT1G22880|AT1G71380
Solyc06g054320.1	AT1G22900|AT1G65870|AT3G58090|AT5G42500|AT5G42510
Solyc11g044470.1	AT1G22910
Solyc11g017300.1	AT1G22920|AT1G71230
Solyc06g073150.2	AT1G22920|AT1G71230
Solyc01g103990.2	AT1G22930
Solyc01g103950.2	AT1G22940
Solyc05g008610.2	AT1G22950
Solyc04g080890.2	AT1G22950
Solyc05g008560.1	AT1G22960
Solyc05g008520.2	AT1G22970|AT1G22980|AT1G71150
Solyc04g007630.1	AT1G22990|AT1G71050
Solyc05g008290.2	AT1G23010|AT1G71040
Solyc04g007640.2	AT1G23030|AT1G71020
Solyc05g008230.2	AT1G23030|AT1G71020
Solyc05g008090.2	AT1G23060|AT1G70950
Solyc07g042090.2	AT1G23070
Solyc04g007690.2	AT1G23080|AT1G70940|AT2G01420
Solyc05g008060.2	AT1G23080|AT1G70940|AT2G01420
Solyc05g007980.2	AT1G23090
Solyc04g007730.2	AT1G23110|AT1G70900
Solyc09g014550.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc09g005400.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g007680.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc09g005500.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc00g323130.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g005700.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g007830.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g007820.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g007010.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc09g005420.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g007780.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc08g023660.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc07g008710.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g050950.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g007760.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g007770.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g007750.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc01g011470.1	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc09g014580.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc09g014530.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc10g048030.1	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc09g005410.1	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc09g014540.1	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc05g046150.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc00g060810.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g007790.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc05g046140.2	AT1G23130|AT1G35260|AT1G35310|AT1G70830|AT1G70840|AT1G70850|AT1G70880|AT1G70890|AT5G28000|AT5G28010
Solyc04g007800.2	AT1G23140|AT1G70800|AT1G70810
Solyc06g053390.2	AT1G23140|AT1G70800|AT1G70810
Solyc04g074100.2	AT1G23150|AT1G70780
Solyc04g007840.2	AT1G23150|AT1G70780
Solyc05g026540.2	AT1G23170|AT1G70770|AT3G11880
Solyc11g011220.1	AT1G23170|AT1G70770|AT3G11880
Solyc05g026560.2	AT1G23180
Solyc04g045340.2	AT1G23190|AT1G70730
Solyc09g010210.2	AT1G23210|AT1G70710
Solyc01g005460.2	AT1G23220
Solyc05g016460.1	AT1G23230
Solyc05g016440.2	AT1G23230
Solyc04g005720.2	AT1G23240|AT1G23250|AT1G70670|AT1G70680
Solyc01g005400.2	AT1G23240|AT1G23250|AT1G70670|AT1G70680
Solyc01g005410.2	AT1G23240|AT1G23250|AT1G70670|AT1G70680
Solyc04g007960.2	AT1G23240|AT1G23250|AT1G70670|AT1G70680
Solyc04g007970.2	AT1G23260|AT1G70660
Solyc07g055880.1	AT1G23270|AT1G31460
Solyc01g005810.2	AT1G23280
Solyc05g013380.2	AT1G23310|AT1G70580
Solyc01g007940.2	AT1G23310|AT1G70580
Solyc01g017610.1	AT1G23320|AT1G70560
Solyc05g031600.1	AT1G23320|AT1G70560
Solyc05g005010.2	AT1G23340|AT1G70550
Solyc12g019010.1	AT1G23360
Solyc05g005090.2	AT1G23380|AT1G70510
Solyc05g005150.1	AT1G23390
Solyc11g066300.1	AT1G23400
Solyc12g098940.1	AT1G23410|AT2G47110|AT3G62250
Solyc12g099030.1	AT1G23410|AT2G47110|AT3G62250
Solyc01g056940.2	AT1G23410|AT2G47110|AT3G62250
Solyc05g005240.1	AT1G23420
Solyc05g005200.2	AT1G23440
Solyc04g025430.1	AT1G23450
Solyc09g098270.2	AT1G23460|AT1G70500
Solyc04g025440.2	AT1G23460|AT1G70500
Solyc02g070870.2	AT1G23465|AT1G29960
Solyc11g007600.1	AT1G23480|AT1G24070|AT2G35650|AT3G56000|AT4G13410|AT4G16590|AT5G16190
Solyc05g055410.1	AT1G23480|AT1G24070|AT2G35650|AT3G56000|AT4G13410|AT4G16590|AT5G16190
Solyc05g005320.1	AT1G23530|AT1G70470
Solyc04g026250.1	AT1G23530|AT1G70470
Solyc05g005280.2	AT1G23550|AT1G70440
Solyc05g005290.2	AT1G23550|AT1G70440
Solyc04g024780.1	AT1G23710|AT1G70420
Solyc05g005260.1	AT1G23710|AT1G70420
Solyc05g005490.2	AT1G23730|AT1G70410
Solyc05g005480.2	AT1G23740
Solyc05g005540.2	AT1G23760|AT1G60390
Solyc05g005560.2	AT1G23760|AT1G60390
Solyc05g005550.2	AT1G23760|AT1G60390
Solyc05g005570.2	AT1G23760|AT1G60390
Solyc01g006990.2	AT1G23770|AT1G23780|AT1G70360
Solyc05g005580.2	AT1G23790|AT1G70340
Solyc08g068190.2	AT1G23800
Solyc05g005700.2	AT1G23800
Solyc02g086970.2	AT1G23800
Solyc05g006540.2	AT1G23810|AT1G24190|AT1G24200|AT1G24210|AT1G24220|AT1G24230|AT1G24250|AT1G27220|AT1G27240|AT1G27250|AT1G27260|AT1G27270|AT1G27280|AT1G70030|AT1G70060|AT5G35610
Solyc08g014310.2	AT1G23820
Solyc06g053520.2	AT1G23820
Solyc04g026030.2	AT1G23820
Solyc06g053510.2	AT1G23820
Solyc05g005710.2	AT1G23820
Solyc05g005750.2	AT1G23870|AT1G60140|AT1G70290
Solyc04g025940.2	AT1G23870|AT1G60140|AT1G70290
Solyc05g005760.2	AT1G23880|AT1G70280
Solyc06g048720.1	AT1G23880|AT1G70280
Solyc10g018280.1	AT1G23880|AT1G70280
Solyc10g018290.1	AT1G23880|AT1G70280
Solyc05g005770.2	AT1G23890
Solyc05g005780.2	AT1G23900|AT1G23940|AT1G60070
Solyc04g025870.2	AT1G23900|AT1G23940|AT1G60070
Solyc05g005790.2	AT1G23980
Solyc05g005900.2	AT1G24040
Solyc04g025670.2	AT1G24050|AT1G70220
Solyc01g008060.2	AT1G24090|AT5G51080
Solyc04g005010.2	AT1G24090|AT5G51080
Solyc05g006090.2	AT1G24090|AT5G51080
Solyc05g006100.2	AT1G24095
Solyc05g006140.1	AT1G24100
Solyc05g006150.1	AT1G24100
Solyc05g006230.1	AT1G24110
Solyc05g006340.2	AT1G24130
Solyc04g005020.2	AT1G24130
Solyc04g005050.1	AT1G24140|AT1G59970|AT1G70170
Solyc05g006360.1	AT1G24140|AT1G59970|AT1G70170
Solyc04g005040.1	AT1G24140|AT1G59970|AT1G70170
Solyc05g006430.1	AT1G24150|AT1G59910|AT1G70140
Solyc03g113710.2	AT1G24150|AT1G59910|AT1G70140
Solyc04g005060.2	AT1G24160|AT1G70100
Solyc05g006490.2	AT1G24160|AT1G70100
Solyc05g006510.1	AT1G24170|AT1G70090
Solyc01g008340.2	AT1G24240|AT4G11630|AT5G11750
Solyc05g015750.2	AT1G24260
Solyc05g015820.2	AT1G24265|AT1G24267
Solyc05g015950.2	AT1G24280|AT5G13110
Solyc03g118320.1	AT1G24290
Solyc05g015930.2	AT1G24300|AT1G27430
Solyc05g015920.2	AT1G24300|AT1G27430
Solyc12g035650.1	AT1G24310
Solyc05g015220.2	AT1G24320|AT1G67490
Solyc05g015070.2	AT1G24330|AT1G27910|AT1G67530
Solyc05g006810.2	AT1G24340
Solyc04g024340.2	AT1G24350|AT1G67600
Solyc05g014700.2	AT1G24350|AT1G67600
Solyc06g071910.2	AT1G24360
Solyc05g014560.2	AT1G24360
Solyc05g014530.1	AT1G24400|AT1G67640
Solyc04g011590.2	AT1G24400|AT1G67640
Solyc12g027890.1	AT1G24400|AT1G67640
Solyc12g027880.1	AT1G24400|AT1G67640
Solyc03g111040.1	AT1G24400|AT1G67640
Solyc01g008300.1	AT1G24420|AT3G26040|AT3G30280|AT4G15390|AT4G15400|AT5G23970|AT5G47950|AT5G47980
Solyc05g014330.1	AT1G24430
Solyc03g114120.2	AT1G24450
Solyc05g014200.2	AT1G24460
