MTR_7g089460	AT1G01020|AT4G01510
MTR_7g021870	AT1G10840
MTR_4g074080	AT1G10850|AT1G60630
MTR_2g076300	AT1G10865
MTR_4g074170	AT1G10870|AT1G60860
MTR_2g007150	AT1G10890
MTR_8g088930	AT1G10900|AT1G60890
MTR_2g007030	AT1G10910
MTR_7g015770	AT1G10920|AT1G50180|AT1G53350|AT1G58390|AT1G58400|AT1G58410|AT1G58602|AT1G58807|AT1G58848|AT1G59124|AT1G59218|AT1G59620|AT1G59780|AT5G35450|AT5G43470|AT5G48620
MTR_2g038510	AT1G10920|AT1G50180|AT1G53350|AT1G58390|AT1G58400|AT1G58410|AT1G58602|AT1G58807|AT1G58848|AT1G59124|AT1G59218|AT1G59620|AT1G59780|AT5G35450|AT5G43470|AT5G48620
MTR_2g006440	AT1G10930|AT1G60930
MTR_8g088740	AT1G10940|AT1G60940
MTR_2g006330	AT1G10940|AT1G60940
MTR_2g006300	AT1G10950
MTR_8g088730	AT1G10950
MTR_2g006290	AT1G10960|AT1G60950
MTR_8g088720	AT1G10960|AT1G60950
MTR_1g016120	AT1G10970|AT1G60960|AT4G33020
MTR_3g104400	AT1G10970|AT1G60960|AT4G33020
MTR_8g005485	AT1G10980|AT1G61670
MTR_8g005790	AT1G10980|AT1G61670
MTR_2g006280	AT1G11000
MTR_4g113520	AT1G11020
MTR_2g006890	AT1G11040
MTR_4g076660	AT1G11050
MTR_2g006910	AT1G11050
MTR_4g089015	AT1G11060|AT1G61030
MTR_4g036480	AT1G11070|AT1G61080|AT4G04980
MTR_2g013000	AT1G11070|AT1G61080|AT4G04980
MTR_4g089110	AT1G11070|AT1G61080|AT4G04980
MTR_4g089155	AT1G11080|AT1G61130|AT4G15100
MTR_2g012850	AT1G11080|AT1G61130|AT4G15100
MTR_2g012860	AT1G11080|AT1G61130|AT4G15100
MTR_4g089170	AT1G11090
MTR_2g012830	AT1G11100|AT1G61140
MTR_2g012810	AT1G11110|AT1G61150|AT4G09300
MTR_2g012780	AT1G11120
MTR_4g090440	AT1G11120
MTR_4g089190	AT1G11125|AT1G61170
MTR_2g012750	AT1G11125|AT1G61170
MTR_2g012670	AT1G11130
MTR_2g012630	AT1G11160|AT1G61210
MTR_2g012570	AT1G11170|AT1G61240
MTR_2g012560	AT1G11180|AT1G61250
MTR_4g090510	AT1G11180|AT1G61250
MTR_2g012440	AT1G11190
MTR_4g090910	AT1G11240
MTR_2g012270	AT1G11250|AT1G61290|AT4G03330
MTR_4g090900	AT1G11250|AT1G61290|AT4G03330
MTR_4g091370	AT1G11260|AT4G21480
MTR_4g090600	AT1G11260|AT4G21480
MTR_3g011940	AT1G11290
MTR_3g011950	AT1G11290
MTR_4g091570	AT1G11300
MTR_6g033330	AT1G11310|AT1G61560|AT2G39200
MTR_3g114130	AT1G11320
MTR_7g056667	AT1G11330|AT1G11350
MTR_7g056420	AT1G11330|AT1G11350
MTR_7g056590	AT1G11330|AT1G11350
MTR_2g011270	AT1G11330|AT1G11350
MTR_2g011340	AT1G11330|AT1G11350
MTR_8g013600	AT1G11330|AT1G11350
MTR_7g056430	AT1G11330|AT1G11350
MTR_8g013610	AT1G11330|AT1G11350
MTR_7g056640	AT1G11330|AT1G11350
MTR_2g011240	AT1G11330|AT1G11350
MTR_7g056680	AT1G11330|AT1G11350
MTR_2g011230	AT1G11330|AT1G11350
MTR_8g013560	AT1G11330|AT1G11350
MTR_7g056617	AT1G11330|AT1G11350
MTR_8g013620	AT1G11330|AT1G11350
MTR_7g056647	AT1G11330|AT1G11350
MTR_2g011280	AT1G11330|AT1G11350
MTR_7g056510	AT1G11330|AT1G11350
MTR_7g056623	AT1G11330|AT1G11350
MTR_8g013580	AT1G11330|AT1G11350
MTR_7g056450	AT1G11330|AT1G11350
MTR_7g056663	AT1G11330|AT1G11350
MTR_4g091860	AT1G11340|AT1G11410
MTR_2g105560	AT1G11370|AT1G11590|AT1G44980|AT3G27980|AT4G03930
MTR_7g107180	AT1G11370|AT1G11590|AT1G44980|AT3G27980|AT4G03930
MTR_4g091550	AT1G11380
MTR_2g011490	AT1G11380
MTR_4g091510	AT1G11390|AT1G61640
MTR_2g011640	AT1G11390|AT1G61640
MTR_2g007770	AT1G11400
MTR_2g011000	AT1G11430
MTR_2g010980	AT1G11440
MTR_5g034040	AT1G11475|AT1G61700
MTR_4g075600	AT1G11475|AT1G61700
MTR_5g034050	AT1G11475|AT1G61700
MTR_4g092050	AT1G11480
MTR_2g010860	AT1G11490
MTR_2g010870	AT1G11490
MTR_2g010840	AT1G11500|AT4G21310
MTR_4g092130	AT1G11500|AT4G21310
MTR_3g070120	AT1G11510|AT1G44810|AT1G55950|AT1G61730|AT1G66420|AT2G01370|AT4G00130|AT4G00238|AT4G00250|AT4G00390|AT4G00610|AT4G01260|AT4G25210
MTR_2g010790	AT1G11510|AT1G44810|AT1G55950|AT1G61730|AT1G66420|AT2G01370|AT4G00130|AT4G00238|AT4G00250|AT4G00390|AT4G00610|AT4G01260|AT4G25210
MTR_4g089085	AT1G11520
MTR_2g010750	AT1G11530
MTR_2g010740	AT1G11540|AT1G61740
MTR_1g105495	AT1G11545
MTR_1g105470	AT1G11560|AT1G61790
MTR_7g050980	AT1G11580
MTR_7g050950	AT1G11580
MTR_7g050870	AT1G11580
MTR_4g131830	AT1G11600
MTR_4g089030	AT1G11610|AT2G30750|AT2G30770|AT3G48270|AT3G48280|AT3G48290|AT3G48300|AT3G48310|AT3G48320|AT4G13290|AT4G13310|AT4G20240|AT5G24950|AT5G24960|AT5G42590
MTR_0022s0290	AT1G11610|AT2G30750|AT2G30770|AT3G48270|AT3G48280|AT3G48290|AT3G48300|AT3G48310|AT3G48320|AT4G13290|AT4G13310|AT4G20240|AT5G24950|AT5G24960|AT5G42590
MTR_4g104610	AT1G11610|AT2G30750|AT2G30770|AT3G48270|AT3G48280|AT3G48290|AT3G48300|AT3G48310|AT3G48320|AT4G13290|AT4G13310|AT4G20240|AT5G24950|AT5G24960|AT5G42590
MTR_4g089055	AT1G11610|AT2G30750|AT2G30770|AT3G48270|AT3G48280|AT3G48290|AT3G48300|AT3G48310|AT3G48320|AT4G13290|AT4G13310|AT4G20240|AT5G24950|AT5G24960|AT5G42590
MTR_4g089025	AT1G11610|AT2G30750|AT2G30770|AT3G48270|AT3G48280|AT3G48290|AT3G48300|AT3G48310|AT3G48320|AT4G13290|AT4G13310|AT4G20240|AT5G24950|AT5G24960|AT5G42590
MTR_4g104540	AT1G11610|AT2G30750|AT2G30770|AT3G48270|AT3G48280|AT3G48290|AT3G48300|AT3G48310|AT3G48320|AT4G13290|AT4G13310|AT4G20240|AT5G24950|AT5G24960|AT5G42590
MTR_4g104550	AT1G11610|AT2G30750|AT2G30770|AT3G48270|AT3G48280|AT3G48290|AT3G48300|AT3G48310|AT3G48320|AT4G13290|AT4G13310|AT4G20240|AT5G24950|AT5G24960|AT5G42590
MTR_4g089020	AT1G11610|AT2G30750|AT2G30770|AT3G48270|AT3G48280|AT3G48290|AT3G48300|AT3G48310|AT3G48320|AT4G13290|AT4G13310|AT4G20240|AT5G24950|AT5G24960|AT5G42590
MTR_2g022860	AT1G11630|AT1G61870
MTR_6g047970	AT1G11630|AT1G61870
MTR_2g022950	AT1G11650
MTR_4g131970	AT1G11650
MTR_3g463740	AT1G11655|AT4G04745|AT4G21902
MTR_2g022960	AT1G11655|AT4G04745|AT4G21902
MTR_3g051300	AT1G11660
MTR_5g092570	AT1G11660
MTR_2g022980	AT1G11670|AT1G61890|AT4G21903|AT4G21910
MTR_8g006450	AT1G11680
MTR_8g006495	AT1G11680
MTR_4g132020	AT1G11700|AT1G61930|AT4G21930
MTR_2g023070	AT1G11700|AT1G61930|AT4G21930
MTR_2g023320	AT1G11720
MTR_4g013305	AT1G11730
MTR_2g023450	AT1G11740|AT1G62050
MTR_4g069800	AT1G11750
MTR_5g007330	AT1G11755
MTR_5g007260	AT1G11755
MTR_3g116310	AT1G11760
MTR_3g085290	AT1G11780
MTR_2g088130	AT1G11790
MTR_4g132250	AT1G11790
MTR_4g132300	AT1G11800
MTR_4g132280	AT1G11820
MTR_4g132260	AT1G11840
MTR_4g132270	AT1G11840
MTR_2g023500	AT1G11840
MTR_4g132360	AT1G11860
MTR_3g099470	AT1G11870
MTR_4g084070	AT1G11880
MTR_8g022210	AT1G11890
MTR_2g090030	AT1G11900
MTR_2g007050	AT1G11900
MTR_2g023880	AT1G11905
MTR_4g132450	AT1G11915
MTR_2g023970	AT1G11915
MTR_2g023990	AT1G11920|AT1G30350
MTR_4g132460	AT1G11920|AT1G30350
MTR_2g100600	AT1G11925
MTR_2g024050	AT1G11925
MTR_2g024030	AT1G11925
MTR_2g024010	AT1G11925
MTR_2g024060	AT1G11930
MTR_2g024120	AT1G11940|AT1G62305
MTR_2g024240	AT1G11950|AT1G62310
MTR_2g024270	AT1G11950|AT1G62310
MTR_4g132540	AT1G11950|AT1G62310
MTR_2g024140	AT1G11950|AT1G62310
MTR_4g132570	AT1G11960|AT1G62320|AT4G04340|AT4G22120
MTR_4g132590	AT1G11990|AT1G62330
MTR_4g132700	AT1G12000|AT4G04040
MTR_2g025020	AT1G12000|AT4G04040
MTR_2g025120	AT1G12010|AT1G62380
MTR_4g132770	AT1G12010|AT1G62380
MTR_2g025410	AT1G12020|AT1G62422
MTR_4g132880	AT1G12020|AT1G62422
MTR_6g453350	AT1G12020|AT1G62422
MTR_2g025520	AT1G12030|AT1G62420
MTR_4g132940	AT1G12030|AT1G62420
MTR_4g132963	AT1G12030|AT1G62420
MTR_4g132970	AT1G12030|AT1G62420
MTR_2g025640	AT1G12050
MTR_2g025690	AT1G12060
MTR_2g025700	AT1G12064
MTR_3g082970	AT1G12070|AT1G62450|AT3G07880
MTR_4g101310	AT1G12100
MTR_5g012290	AT1G12110
MTR_4g101380	AT1G12110
MTR_5g012270	AT1G12110
MTR_5g012130	AT1G12130|AT1G12140|AT1G12160|AT1G12200|AT1G62540|AT1G62560|AT1G62570|AT1G62580|AT1G62600|AT1G62620|AT1G63340|AT1G63370|AT1G63390|AT1G65860
MTR_4g134110	AT1G12150|AT4G17210
MTR_2g027130	AT1G12150|AT4G17210
MTR_4g133450	AT1G12150|AT4G17210
MTR_4g101620	AT1G12230
MTR_4g101630	AT1G12240|AT1G62660
MTR_2g064690	AT1G12244
MTR_4g027430	AT1G12244
MTR_5g012110	AT1G12250
MTR_5g012080	AT1G12260|AT1G62700|AT5G62380
MTR_4g101680	AT1G12260|AT1G62700|AT5G62380
MTR_5g012030	AT1G12270|AT1G62740|AT4G12400
MTR_5g011850	AT1G12310|AT1G62820
MTR_5g011800	AT1G12320|AT1G62840
MTR_5g011820	AT1G12320|AT1G62840
MTR_4g102220	AT1G12320|AT1G62840
MTR_8g106210	AT1G12330
MTR_4g102010	AT1G12340|AT1G12390|AT1G62880|AT4G12090
MTR_5g011690	AT1G12340|AT1G12390|AT1G62880|AT4G12090
MTR_4g112080	AT1G12350|AT5G02080
MTR_3g073550	AT1G12350|AT5G02080
MTR_5g011790	AT1G12360|AT4G12120
MTR_4g102120	AT1G12360|AT4G12120
MTR_5g011780	AT1G12370
MTR_5g055880	AT1G12400|AT1G62886
MTR_5g055890	AT1G12400|AT1G62886
MTR_4g102000	AT1G12410
MTR_5g011580	AT1G12420|AT4G22780
MTR_4g101950	AT1G12420|AT4G22780
MTR_5g011500	AT1G12430
MTR_4g101920	AT1G12450|AT4G12000|AT4G22850
MTR_5g011420	AT1G12450|AT4G12000|AT4G22850
MTR_5g011410	AT1G12460|AT1G62950
MTR_8g471030	AT1G12470
MTR_8g063380	AT1G12470
MTR_4g101880	AT1G12480
MTR_4g101860	AT1G12500
MTR_4g101820	AT1G12520
MTR_4g102360	AT1G12530
MTR_0007s0330	AT1G12540|AT1G62975
MTR_4g102450	AT1G12560|AT1G62980
MTR_5g011210	AT1G12560|AT1G62980
MTR_5g011020	AT1G12570
MTR_5g011010	AT1G12570
MTR_1g101630	AT1G12580
MTR_7g076310	AT1G12600
MTR_4g102660	AT1G12610|AT1G63030
MTR_5g010930	AT1G12610|AT1G63030
MTR_5g010910	AT1G12610|AT1G63030
MTR_5g010940	AT1G12610|AT1G63030
MTR_4g102670	AT1G12630
MTR_4g102750	AT1G12640|AT1G63050
MTR_5g058150	AT1G12650
MTR_6g075250	AT1G12650
MTR_3g099767	AT1G12680
MTR_5g010800	AT1G12710|AT1G63090
MTR_4g102770	AT1G12710|AT1G63090
MTR_4g102820	AT1G12730|AT1G63110
MTR_5g010750	AT1G12740
MTR_7g498280	AT1G12750|AT1G63120|AT4G23070
MTR_1g101310	AT1G12750|AT1G63120|AT4G23070
MTR_4g102870	AT1G12760|AT1G63170
MTR_5g010720	AT1G12760|AT1G63170
MTR_2g063080	AT1G12770
MTR_8g096880	AT1G12780|AT1G63180
MTR_2g451120	AT1G12790
MTR_2g010410	AT1G12790
MTR_8g097290	AT1G12800
MTR_7g083610	AT1G12820|AT3G26810
MTR_7g083640	AT1G12830
MTR_7g083720	AT1G12840
MTR_6g033275	AT1G12850|AT3G26780
MTR_2g081040	AT1G12860|AT3G26744
MTR_3g104100	AT1G12860|AT3G26744
MTR_7g083900	AT1G12860|AT3G26744
MTR_3g030700	AT1G12860|AT3G26744
MTR_7g084380	AT1G12880|AT3G26690
MTR_1g097190	AT1G12890
MTR_7g084800	AT1G12900|AT3G26650
MTR_7g084810	AT1G12910|AT3G26640
MTR_6g081000	AT1G12920|AT3G26618
MTR_7g084880	AT1G12930
MTR_8g069775	AT1G12940
MTR_8g069470	AT1G12950|AT3G26590|AT5G38030
MTR_5g033090	AT1G12960|AT1G23290|AT1G70600
MTR_3g077050	AT1G12960|AT1G23290|AT1G70600
MTR_4g119380	AT1G12960|AT1G23290|AT1G70600
MTR_8g069460	AT1G12960|AT1G23290|AT1G70600
MTR_5g032910	AT1G12970|AT3G26500
MTR_8g089840	AT1G12990|AT1G67880|AT3G26445
MTR_3g096150	AT1G12990|AT1G67880|AT3G26445
MTR_8g089785	AT1G13020|AT3G26400
MTR_3g086550	AT1G13030
MTR_8g089700	AT1G13040
MTR_8g089695	AT1G13050|AT3G26350
MTR_3g089040	AT1G13060|AT3G26340
MTR_7g034350	AT1G13120
MTR_3g086460	AT1G13120
MTR_3g086350	AT1G13160|AT4G31520
MTR_4g006000	AT1G13160|AT4G31520
MTR_4g005970	AT1G13160|AT4G31520
MTR_3g086340	AT1G13170
MTR_8g089630	AT1G13180
MTR_8g079910	AT1G13195|AT1G24440
MTR_3g086130	AT1G13195|AT1G24440
MTR_3g037330	AT1G13210|AT1G26130|AT1G68710|AT3G25610
MTR_0021s0360	AT1G13210|AT1G26130|AT1G68710|AT3G25610
MTR_8g069920	AT1G13210|AT1G26130|AT1G68710|AT3G25610
MTR_6g015285	AT1G13220|AT1G68790
MTR_1g093900	AT1G13230|AT1G68780|AT3G25670
MTR_1g093650	AT1G13245|AT1G68825|AT3G25717
MTR_3g092310	AT1G13250
MTR_1g093600	AT1G13260|AT1G25560|AT1G68840|AT3G25730
MTR_5g053920	AT1G13260|AT1G25560|AT1G68840|AT3G25730
MTR_5g053940	AT1G13270|AT3G25740
MTR_5g053950	AT1G13280|AT3G25760|AT3G25770|AT3G25780
MTR_1g093095	AT1G13290
MTR_5g054300	AT1G13300|AT1G25550|AT1G68670|AT3G25790
MTR_1g093080	AT1G13300|AT1G25550|AT1G68670|AT3G25790
MTR_1g111270	AT1G13320|AT1G25490|AT3G25800
MTR_5g055150	AT1G13330
MTR_1g111210	AT1G13340
MTR_1g111180	AT1G13350|AT3G25840|AT3G53640
MTR_1g111060	AT1G13360|AT3G25870
MTR_2g082340	AT1G13370|AT1G75600
MTR_2g082310	AT1G13370|AT1G75600
MTR_5g057335	AT1G13380
MTR_5g057670	AT1G13380
MTR_1g110760	AT1G13390|AT1G68490
MTR_1g110710	AT1G13400|AT1G68480
MTR_8g066250	AT1G13410
MTR_0071s0010	AT1G13420|AT1G13430|AT1G28170|AT2G03750|AT2G03760|AT2G03770|AT2G14920|AT2G27570|AT3G45070|AT3G45080|AT4G26280|AT5G43690
MTR_3g435130	AT1G13420|AT1G13430|AT1G28170|AT2G03750|AT2G03760|AT2G03770|AT2G14920|AT2G27570|AT3G45070|AT3G45080|AT4G26280|AT5G43690
MTR_3g434790	AT1G13420|AT1G13430|AT1G28170|AT2G03750|AT2G03760|AT2G03770|AT2G14920|AT2G27570|AT3G45070|AT3G45080|AT4G26280|AT5G43690
MTR_8g066220	AT1G13420|AT1G13430|AT1G28170|AT2G03750|AT2G03760|AT2G03770|AT2G14920|AT2G27570|AT3G45070|AT3G45080|AT4G26280|AT5G43690
MTR_8g066210	AT1G13420|AT1G13430|AT1G28170|AT2G03750|AT2G03760|AT2G03770|AT2G14920|AT2G27570|AT3G45070|AT3G45080|AT4G26280|AT5G43690
MTR_8g066280	AT1G13420|AT1G13430|AT1G28170|AT2G03750|AT2G03760|AT2G03770|AT2G14920|AT2G27570|AT3G45070|AT3G45080|AT4G26280|AT5G43690
MTR_3g046670	AT1G13420|AT1G13430|AT1G28170|AT2G03750|AT2G03760|AT2G03770|AT2G14920|AT2G27570|AT3G45070|AT3G45080|AT4G26280|AT5G43690
MTR_3g085960	AT1G13450|AT3G25990
MTR_3g086010	AT1G13460|AT3G26020
MTR_5g035750	AT1G13470|AT1G13480|AT1G13490|AT1G13500|AT1G13510|AT1G13520|AT1G13530|AT1G13540|AT1G13550
MTR_6g472110	AT1G13470|AT1G13480|AT1G13490|AT1G13500|AT1G13510|AT1G13520|AT1G13530|AT1G13540|AT1G13550
MTR_5g035760	AT1G13470|AT1G13480|AT1G13490|AT1G13500|AT1G13510|AT1G13520|AT1G13530|AT1G13540|AT1G13550
MTR_5g035670	AT1G13470|AT1G13480|AT1G13490|AT1G13500|AT1G13510|AT1G13520|AT1G13530|AT1G13540|AT1G13550
MTR_5g035690	AT1G13470|AT1G13480|AT1G13490|AT1G13500|AT1G13510|AT1G13520|AT1G13530|AT1G13540|AT1G13550
MTR_5g035665	AT1G13470|AT1G13480|AT1G13490|AT1G13500|AT1G13510|AT1G13520|AT1G13530|AT1G13540|AT1G13550
MTR_6g018970	AT1G13560|AT3G25585
MTR_3g009730	AT1G13560|AT3G25585
MTR_0049s0110	AT1G13570
MTR_5g049240	AT1G13580|AT3G25540
MTR_5g049230	AT1G13580|AT3G25540
MTR_8g069850	AT1G13580|AT3G25540
MTR_8g015250	AT1G13600|AT2G04038
MTR_7g029400	AT1G13600|AT2G04038
MTR_0009s0230	AT1G13635
MTR_8g066040	AT1G13635
MTR_8g066090	AT1G13640|AT1G26270|AT2G03890
MTR_0009s0120	AT1G13640|AT1G26270|AT2G03890
MTR_5g045680	AT1G13680
MTR_5g044970	AT1G13690
MTR_5g045000	AT1G13700
MTR_3g072930	AT1G13710
MTR_7g089600	AT1G13710
MTR_5g045250	AT1G13710
MTR_5g045370	AT1G13740|AT1G69260
MTR_8g063080	AT1G13750
MTR_5g045600	AT1G13750
MTR_5g044720	AT1G13770
MTR_7g011500	AT1G13800|AT2G26790
MTR_3g091500	AT1G13800|AT2G26790
MTR_1g113020	AT1G13800|AT2G26790
MTR_7g011520	AT1G13800|AT2G26790
MTR_2g088950	AT1G13810
MTR_2g437670	AT1G13810
MTR_4g083080	AT1G13820
MTR_5g044540	AT1G13820
MTR_5g044530	AT1G13830|AT1G26450|AT1G69295|AT2G03505
MTR_4g083070	AT1G13830|AT1G26450|AT1G69295|AT2G03505
MTR_4g083030	AT1G13860|AT2G03480
MTR_8g030830	AT1G13870
MTR_8g446960	AT1G13870
MTR_3g023780	AT1G13880|AT1G26580|AT2G03470
MTR_5g043850	AT1G13890
MTR_4g082930	AT1G13900|AT2G03450
MTR_4g082940	AT1G13900|AT2G03450
MTR_5g043800	AT1G13910|AT5G61240
MTR_5g043690	AT1G13920|AT1G69325
MTR_4g082910	AT1G13920|AT1G69325
MTR_5g043685	AT1G13920|AT1G69325
MTR_4g082830	AT1G13930|AT2G03440
MTR_4g082860	AT1G13930|AT2G03440
MTR_4g082510	AT1G13940|AT1G26620|AT1G69360
MTR_5g043430	AT1G13940|AT1G26620|AT1G69360
MTR_4g130917	AT1G13950
MTR_4g082580	AT1G13960|AT2G03340
MTR_5g042920	AT1G13960|AT2G03340
MTR_5g042910	AT1G13970
MTR_5g080650	AT1G13980
MTR_3g068130	AT1G13980
MTR_3g068140	AT1G13980
MTR_5g042520	AT1G13990
MTR_4g082325	AT1G14000
MTR_5g042260	AT1G14010|AT1G26690|AT1G69460|AT2G03040|AT2G03290
MTR_5g042270	AT1G14010|AT1G26690|AT1G69460|AT2G03040|AT2G03290
MTR_4g082315	AT1G14010|AT1G26690|AT1G69460|AT2G03040|AT2G03290
MTR_5g042320	AT1G14010|AT1G26690|AT1G69460|AT2G03040|AT2G03290
MTR_5g042300	AT1G14010|AT1G26690|AT1G69460|AT2G03040|AT2G03290
MTR_5g042200	AT1G14020|AT2G03280
MTR_4g082310	AT1G14020|AT2G03280
MTR_4g082305	AT1G14030
MTR_4g082300	AT1G14048|AT1G14060|AT5G02210
MTR_2g020730	AT1G14070|AT1G14080|AT1G14100|AT1G14110|AT2G03210|AT2G03220|AT2G15350|AT2G15370|AT2G15390
MTR_8g099865	AT1G14070|AT1G14080|AT1G14100|AT1G14110|AT2G03210|AT2G03220|AT2G15350|AT2G15370|AT2G15390
MTR_1g090430	AT1G14070|AT1G14080|AT1G14100|AT1G14110|AT2G03210|AT2G03220|AT2G15350|AT2G15370|AT2G15390
MTR_4g007360	AT1G14070|AT1G14080|AT1G14100|AT1G14110|AT2G03210|AT2G03220|AT2G15350|AT2G15370|AT2G15390
MTR_4g007220	AT1G14070|AT1G14080|AT1G14100|AT1G14110|AT2G03210|AT2G03220|AT2G15350|AT2G15370|AT2G15390
MTR_4g007380	AT1G14070|AT1G14080|AT1G14100|AT1G14110|AT2G03210|AT2G03220|AT2G15350|AT2G15370|AT2G15390
MTR_7g005890	AT1G14070|AT1G14080|AT1G14100|AT1G14110|AT2G03210|AT2G03220|AT2G15350|AT2G15370|AT2G15390
MTR_5g025060	AT1G14120|AT1G14130
MTR_5g027230	AT1G14120|AT1G14130
MTR_5g024940	AT1G14120|AT1G14130
MTR_5g025050	AT1G14120|AT1G14130
MTR_5g025090	AT1G14120|AT1G14130
MTR_1g090330	AT1G14140
MTR_5g041910	AT1G14150
MTR_5g041750	AT1G14180
MTR_5g041340	AT1G14185|AT1G14190
MTR_5g041290	AT1G14205
MTR_5g041010	AT1G14220|AT1G26820
MTR_5g041040	AT1G14220|AT1G26820
MTR_5g041095	AT1G14220|AT1G26820
MTR_5g041080	AT1G14220|AT1G26820
MTR_5g040710	AT1G14230|AT1G14240|AT1G14250|AT2G02970
MTR_8g467220	AT1G14260|AT2G02960
MTR_5g040650	AT1G14260|AT2G02960
MTR_8g467540	AT1G14270
MTR_5g040340	AT1G14280|AT2G02950
MTR_8g055860	AT1G14280|AT2G02950
MTR_5g040320	AT1G14290|AT1G69640
MTR_8g055880	AT1G14300
MTR_7g039510	AT1G14310
MTR_5g040090	AT1G14310
MTR_2g090910	AT1G14320|AT1G26910|AT1G66580
MTR_3g094230	AT1G14320|AT1G26910|AT1G66580
MTR_3g062600	AT1G14320|AT1G26910|AT1G66580
MTR_5g039390	AT1G14330|AT1G26930|AT2G02870
MTR_8g468030	AT1G14330|AT1G26930|AT2G02870
MTR_5g039130	AT1G14340
MTR_5g038970	AT1G14345
MTR_5g038910	AT1G14350|AT2G02820
MTR_8g468380	AT1G14350|AT2G02820
MTR_5g038900	AT1G14360|AT2G02810
MTR_5g038870	AT1G14370|AT1G26970|AT1G69790|AT2G02800
MTR_5g038620	AT1G14380|AT2G02790
MTR_5g037160	AT1G14390|AT2G02780
MTR_5g038600	AT1G14390|AT2G02780
MTR_8g468500	AT1G14390|AT2G02780
MTR_8g468530	AT1G14400|AT2G02760
MTR_5g038560	AT1G14410|AT2G02740
MTR_8g468570	AT1G14410|AT2G02740
MTR_8g468980	AT1G14420|AT2G02720
MTR_7g009390	AT1G14420|AT2G02720
MTR_4g107870	AT1G14420|AT2G02720
MTR_5g038490	AT1G14420|AT2G02720
MTR_5g038510	AT1G14420|AT2G02720
MTR_6g011420	AT1G14420|AT2G02720
MTR_5g038410	AT1G14430
MTR_4g134580	AT1G14440|AT2G02540
MTR_4g134550	AT1G14450|AT2G02510
MTR_2g036340	AT1G14450|AT2G02510
MTR_8g046930	AT1G14450|AT2G02510
MTR_4g134530	AT1G14460|AT2G02480
MTR_7g078420	AT1G14470
MTR_7g078360	AT1G14470
MTR_8g068990	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_7g451420	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_8g041240	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_3g016210	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_8g467780	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_8g072510	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_1g059930	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_8g062410	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_8g073275	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_3g105650	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_8g040930	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_7g021090	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_8g073260	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_8g069880	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_8g039620	AT1G14480|AT1G14500|AT4G10720|AT5G15500|AT5G54610|AT5G54620
MTR_5g066020	AT1G14490|AT5G49700
MTR_3g100470	AT1G14490|AT5G49700
MTR_4g134510	AT1G14510|AT2G02470
MTR_1g033830	AT1G14530|AT2G02180
MTR_4g074990	AT1G14540|AT1G14550
MTR_4g083710	AT1G14540|AT1G14550
MTR_4g074980	AT1G14540|AT1G14550
MTR_4g074995	AT1G14540|AT1G14550
MTR_3g104600	AT1G14560
MTR_4g011870	AT1G14570|AT1G59550|AT3G23605|AT4G14250
MTR_4g006220	AT1G14570|AT1G59550|AT3G23605|AT4G14250
MTR_8g070760	AT1G14570|AT1G59550|AT3G23605|AT4G14250
MTR_4g006310	AT1G14570|AT1G59550|AT3G23605|AT4G14250
MTR_1g094115	AT1G14580|AT2G02070|AT2G02080
MTR_1g112270	AT1G14580|AT2G02070|AT2G02080
MTR_1g112300	AT1G14590|AT2G02061
MTR_0223s0010	AT1G14590|AT2G02061
MTR_3g450310	AT1G14600|AT2G02060
MTR_1g101620	AT1G14610|AT1G27160
MTR_7g117435	AT1G14620
MTR_8g087440	AT1G14620
MTR_8g028485	AT1G14620
MTR_3g064750	AT1G14630|AT2G01990
MTR_7g063860	AT1G14640|AT1G14650|AT1G18050|AT3G27600|AT3G49130|AT4G16200|AT5G06520|AT5G12280
MTR_2g038400	AT1G14660|AT2G01980
MTR_5g077170	AT1G14670|AT2G01970
MTR_6g074910	AT1G14670|AT2G01970
MTR_3g099600	AT1G14680|AT4G09060
MTR_1g033880	AT1G14686|AT1G25240|AT1G68110|AT2G01920
MTR_6g073013	AT1G14687
MTR_1g038840	AT1G14690|AT2G01910
